교과목명(미확정구분),교과목번호,분반,교수명,시간/강의실,수강대상학과,,교양평점
유라시아근대사읽기,ZF1100729,001,양민종,금 18:00-21:00 306-215,,,3.98
유라시아근대사읽기,ZF1100729,500,양민종,일 15:00-18:00 306-215,,,3.98
한국의역사와역사인식,ZF1100265,001,윤석호,"월 13:30(75) 306-316,<br/> 수 13:30(75) 306-316",,,4.63
한국의역사와역사인식,ZF1100265,002,김숙경,금 10:00-13:00 405-2104,,,4.78
한국의역사와역사인식,ZF1100265,003,송정란,"화 12:00(75) 306-206,<br/> 목 12:00(75) 306-206",,,5
중국의역사와문화,ZF1100271,001,윤욱,"월 10:30(75) 306-205,<br/> 수 10:30(75) 306-205",,,3.44
중국의역사와문화,ZF1100271,002,김지영,"화 16:30(75) 405-2104,<br/> 목 16:30(75) 405-2104",,,4.59
중국의역사와문화,ZF1100271,200,민경준,"화 15:00(75) 밀양M01-1110,<br/> 목 15:00(75) 밀양M01-1110",,,4.69
문화로보는서양의역사,ZF1100275,001,배혜정,"월 15:00(75) 306-408,<br/> 수 15:00(75) 306-408",,,4.58
문화로보는서양의역사,ZF1100275,002,김영숙,"월 09:00(75) 306-316,<br/> 수 09:00(75) 306-316",,,4.8
문화로보는서양의역사,ZF1100275,003,김영숙,"월 12:00(75) 306-212,<br/> 수 12:00(75) 306-212",,,4.8
한국근현대사의흐름,ZF1100281,001,강정원,"화 10:30(75) 306-317,<br/> 목 10:30(75) 306-317",,,4.83
한국근현대사의흐름,ZF1100281,002,이창섭,"화 16:30(75) 306-206,<br/> 목 16:30(75) 306-206",,,4.9
한국근현대사의흐름,ZF1100281,003,신정윤,"화 13:30(75) 405-2104,<br/> 목 13:30(75) 405-2104",,,4.14
한국근현대사의흐름,ZF1100281,004,차철욱,"월 15:00(75) 306-316,<br/> 수 15:00(75) 306-316",,,3.94
한국근현대사의흐름,ZF1100281,005,박경연,"월 16:30(75) 306-411,<br/> 수 16:30(75) 306-411",,,4.13
한국근현대사의흐름,ZF1100281,006,여민주,"월 12:00(75) 306-409,<br/> 수 12:00(75) 306-409",,,4.63
일본의역사와문화,ZF1100294,001,이승희,"화 13:30(75) 306-317,<br/> 목 13:30(75) 306-317",,,4.87
일본의역사와문화,ZF1100294,002,조승미,금 14:00-17:00 306-206,,,4.78
