교과목명(미확정구분),교과목번호,분반,교수명,시간/강의실,수강대상학과,개설학과,교양평점,
현대생활과헌법재판,ZF1100445,068,정한신,"화 15:00(75) 609-218,<br/> 목 15:00(75) 609-218",,법학과<br/>(0000|051-510-1885),5,
금융·증권보험분쟁과피해자구제,ZF1100647,068,최영주,"월 10:30(75) 609-417,<br/> 수 10:30(75) 609-417",,법학과<br/>(0000|051-510-1885),4.66,
형법입문,ZF1200223,068,류화진,"화 09:00(75) 609-118,<br/> 목 09:00(75) 609-118",,법학과<br/>(0000|051-510-1885),4.92,
창작과엔터테인먼트에관한법률지식,ZF1200254,068,강명수,"월 15:00(75) 609-218,<br/> 수 15:00(75) 609-218",,법학과<br/>(0000|051-510-1885),4.44,
국제법입문,ZF1200401,068,정세정,"월 16:30(75) 609-313,<br/> 수 16:30(75) 609-313",,법학과<br/>(0000|051-510-1885),4,
영화와함께하는인권,ZF1200445,068,김해원,"화 10:30(75) 609-417,<br/> 목 10:30(75) 609-417",,법학과<br/>(0000|051-510-1885),4.54,
스토리텔링민법,ZF1200516,068,김현수,목 17:00-20:00 609-215,,법학과<br/>(0000|051-510-1885),4.76,
공정사회로가는계약법,ZF1200734,068,윤석찬,월 17:00-20:00 609-317,,법학과<br/>(0000|051-510-1885),4.85,
주민참여와지방자치,ZF1200738,068,정승윤,"월 13:30(75) 609-117,<br/> 수 13:30(75) 609-117",,법학과<br/>(0000|051-510-1885),4,
언어사회와문화,ZF1100699,001,권경근,"월 15:00(75) 306-313,<br/> 수 15:00(75) 306-313",,국어국문학과<br/>(051-510-1507),4.15,
언어사회와문화,ZF1100699,002,박소영,"화 15:00(75) 306-212,<br/> 목 15:00(75) 306-212",,국어국문학과<br/>(051-510-1507),4.6,
언어사회와문화,ZF1100699,003,김태우,"화 13:30(75) 306-201,<br/> 목 13:30(75) 306-201",,국어국문학과<br/>(051-510-1507),4.53,
언어사회와문화,ZF1100699,004,이옥희,"월 15:00(75) 306-209,<br/> 수 15:00(75) 306-209",,국어국문학과<br/>(051-510-1507),3.96,
언어사회와문화,ZF1100699,005,김지현,"화 15:00(75) 306-313,<br/> 목 15:00(75) 306-313",,국어국문학과<br/>(051-510-1507),4.67,
언어사회와문화,ZF1100699,006,손평효,"화 13:30(75) 306-311,<br/> 목 13:30(75) 306-311",,국어국문학과<br/>(051-510-1507),4.3,
언어사회와문화,ZF1100699,200,손평효,금 10:00-13:00 밀양M03-3549,,국어국문학과<br/>(051-510-1507),4.3,
"언어, 세상의 지문",ZF1200339,001,김종수,금 12:00-15:00 306-311,,독어독문학과<br/>(051-510-1512),3.94,
러시아테마여행,ZF1200246,001,양영란,금 10:30-13:30 306-215,,노어노문학과<br/>(051-510-1671),4.62,
서양의성과풍속의역사,ZF1100397,001,서영건,"월 10:30(75) 306-410,<br/> 수 10:30(75) 306-410",,사학과<br/>(051-510-1513),4.43,
서양의성과풍속의역사,ZF1100397,002,김정화,"화 10:30(75) 306-203,<br/> 목 10:30(75) 306-203",,사학과<br/>(051-510-1513),4.37,
서양의성과풍속의역사,ZF1100397,003,성진희,"화 09:00(75) 306-316,<br/> 목 09:00(75) 306-316",,사학과<br/>(051-510-1513),4.67,
서양의성과풍속의역사,ZF1100397,200,성진희,금 10:00-13:00 밀양M02-2212,,사학과<br/>(051-510-1513),4.67,
한국전통사회와여성,ZF1100427,001,송정란,"화 09:00(75) 306-317,<br/> 목 09:00(75) 306-317",,사학과<br/>(051-510-1513),4.72,
성과사랑의철학,ZF1100431,001,박요한,"화 15:00(75) 306-409,<br/> 목 15:00(75) 306-409",,철학과<br/>(051-510-1514),4.58,
성과사랑의철학,ZF1100431,200,양창아,수 14:00-17:00 밀양M02-2111,,철학과<br/>(051-510-1514),4.33,
다양성과 위기의 시대,ZF1101143,001,김지훈,금 14:00-17:00 422-102,,정치외교학과<br/>(051-510-1558),4.72,
다양성과 위기의 시대,ZF1101143,500,김지훈,금 09:00-12:00 422-102,,정치외교학과<br/>(051-510-1558),4.72,
결혼과가족복지,ZF1100004,025,윤미영,"월 10:30(75) 421-304,<br/> 수 10:30(75) 421-304",,사회복지학과<br/>(051-510-1559),4.5,
생활속의심리학,ZF1101117,001,서수균,금 18:00-21:00 422-101,,심리학과<br/>(051-510-1561),4.9,
생활속의심리학,ZF1101117,002,이재식,"월 10:30(75) 421-305,<br/> 수 10:30(75) 421-305",,심리학과<br/>(051-510-1561),4.77,
생활속의심리학,ZF1101117,003,설선혜,"월 15:00(75) 421-305,<br/> 수 15:00(75) 421-305",,심리학과<br/>(051-510-1561),4.59,
생활속의심리학,ZF1101117,004,조승빈,"월 10:30(75) 422-508,<br/> 수 10:30(75) 422-508",,심리학과<br/>(051-510-1561),5,원어
생활속의심리학,ZF1101117,005,임정은,"화 13:30(75) 421-401,<br/> 목 13:30(75) 421-401",,심리학과<br/>(051-510-1561),4.2,
생활속의심리학,ZF1101117,006,김미숙,"화 10:30(75) 422-507,<br/> 목 10:30(75) 422-507",,심리학과<br/>(051-510-1561),4.24,
생활속의심리학,ZF1101117,007,전지혜,"화 16:30(75) 421-401,<br/> 목 16:30(75) 421-401",,심리학과<br/>(051-510-1561),4.8,
생활속의심리학,ZF1101117,008,신현희,"화 12:00(75) 422-507,<br/> 목 12:00(75) 422-507",,심리학과<br/>(051-510-1561),4.57,
