교과목구분,교과목명(미확정구분),교과목번호,분반,교수명,시간/강의실,수강대상학과,교양평점
교양선택,문학과영상예술,ZF1100316,001,김려실,"월 10:30(75) 306-411,<br/> 수 10:30(75) 306-411",,3.63
교양선택,문학과영상예술,ZF1100316,002,박미라,"월 10:30(75) 306-501,<br/> 수 10:30(75) 306-501",,4
교양선택,민속문학과전통문화,ZF1100317,001,한태문,"화 13:30(75) 306-313,<br/> 목 13:30(75) 306-313",,4.3
교양선택,민속문학과전통문화,ZF1100317,002,허순우,"월 10:30(75) 306-313,<br/> 수 10:30(75) 306-313",,4.29
교양선택,민속문학과전통문화,ZF1100317,003,류속영,"화 13:30(75) 306-212,<br/> 목 13:30(75) 306-212",,4.29
교양선택,민속문학과전통문화,ZF1100317,004,정은영,"화 12:00(75) 306-313,<br/> 목 12:00(75) 306-313",,4.8
교양선택,영화로보는현대중국,ZF1101035,001,권도경,"화 10:30(75) 306-409,<br/> 목 10:30(75) 306-409",,4.78
교양선택,영화로보는현대중국,ZF1101035,002,박노종,"월 09:00(75) 306-409,<br/> 수 09:00(75) 306-409",,4.96
교양선택,영화로영미문학읽기,ZF1100967,001,최성희,"월 15:00(75) 306-412,<br/> 수 15:00(75) 306-412",,4.19
교양선택,생애주기와문학,ZF1101003,001,안소미,"화 09:00(75) 306-412,<br/> 목 09:00(75) 306-412",,4.74
교양선택,프랑스 문학과 K 문화 콘텐츠,ZF1101113,001,홍지은,"화 10:30(75) 306-407,<br/> 목 10:30(75) 306-407",,4.33
교양선택,영상예술과철학,ZF1100347,001,김도형,"화 13:30(75) 306-307,<br/> 목 13:30(75) 306-307",,새로개설
교양선택,영상예술과철학,ZF1100347,002,정재훈,"화 13:30(75) 306-408,<br/> 목 13:30(75) 306-408",,4.83
교양선택,영상예술과철학,ZF1100347,003,홍준성,"월 10:30(75) 306-201,<br/> 수 10:30(75) 306-201",,4
교양선택,영상예술과철학,ZF1100347,200,박요한,목 10:30-13:30 밀양M02-2212,,4
교양선택,미술을보는눈,ZF1100512,101,,금 10:00-13:00 601-237,,3.5
교양선택,미술을보는눈,ZF1100512,102,정희진,화 10:00-13:00 밀양M02-2111,,4.58
교양선택,섬유패션소품디자인,ZF1100982,101,김성연 외 1명,"화 13:30(75) 703-312,<br/> 화 15:00(75) 703-312",,4.69
교양선택,섬유패션소품디자인,ZF1100982,102,김성연 외 1명,"화 13:30(75) 703-314,<br/> 화 15:00(75) 703-314",,4.69
교양선택,장신구의역사,ZF1200085,101,안순주 외 1명,"월 10:30(75) 703-314,<br/> 월 12:00(75) 703-314",,4.74
교양선택,장신구의역사,ZF1200085,102,안순주 외 1명,"월 10:30(75) 703-515,<br/> 월 12:00(75) 703-515",,4.74
교양선택,장신구의역사,ZF1200085,103,안순주 외 1명,"목 13:00(75) 양산Y15-411,<br/> 목 14:30(75) 양산Y15-411",,4.74
교양선택,장신구의역사,ZF1200085,104,안순주 외 1명,"금 13:00(75) 밀양M03-3454,<br/> 금 14:30(75) 밀양M03-3454",,4.74
교양선택,주얼리코디네이터,ZF1200429,101,안순주 외 1명,"월 14:00(100) 703-314,<br/> 월 16:00(100) 703-314",,4.7
교양선택,창의 개발 스타트업 : 디자인적 사고와 브랜드 개발,ZF1200430,101,김성연 외 1명,화 09:00-13:00 703-312,,4.41
교양선택,한국의 미와 예술,ZF1200674,101,신나경 외 1명,"수 13:30(75) 601-333,<br/> 수 15:00(75) 601-333",,3.98
교양선택,한국음악과영화,ZF1100824,001,이아미,화 13:00-16:00 601-237,,4.8
교양선택,무용 작품 감상,ZF1101137,104,김한나 외 1명,월 10:00-13:00 601-332,,4.4
교양선택,영화와대중문화의쟁점,ZF1100887,101,서대정,목 10:00-13:00 601-227,,4.38
교양선택,영화와대중문화의쟁점,ZF1100887,102,박정민,목 10:00-13:00 601-241,,4.7
교양선택,영화와대중문화의쟁점,ZF1100887,103,정승언,목 10:00-13:00 601-313,,4.4
교양선택,영화와대중문화의쟁점,ZF1100887,200,강동호,월 14:00-17:00 밀양M02-2212,,4.5
교양선택,영화와대중문화의쟁점,ZF1100887,300,김채희,수 14:00-17:00 양산Y15-411,,4.75
교양선택,"상처,예술그리고임계의미학",ZF1101154,001,김동규,금 14:00-17:00 201-6208,,4.25
교양선택,외국인학생을위한마음챙김인문학,ZF1101156,101,고혜림,금 10:00-13:00 421-305,,4
교양선택,디지털미디어와대중문화,ZF1101158,001,김은진,"화 13:30(75) 201-6208,<br/> 목 13:30(75) 201-6208",,4.43
교양선택,일본신화읽기,ZF1101159,001,안수현,"화 14:00(75) 416-B105,<br/> 목 14:00(75) 416-B105",,4.9
교양선택,유라시아인문도시기행,ZF1101160,001,강수경,금 14:00-17:00 514-105,,4.13
교양선택,한국의신화와전통예술개관,ZF1200164,001,최진숙,"월 15:00(75) 422-803,<br/> 수 15:00(75) 422-803",,4.59
교양선택,현대예술로만나는지역,ZF1100865,001,박수정,"화 15:00(75) 105-3314,<br/> 목 15:00(75) 105-3314",,5
교양선택,예술작품으로 보는 (여)성의 역사,ZF1101037,001,김인선,"월 16:30(75) 306-312,<br/> 수 16:30(75) 306-312",,4.86
교양선택,예술작품으로 보는 (여)성의 역사,ZF1101037,002,김인선 외 1명,"화 16:30(75) 306-312,<br/> 목 16:30(75) 306-312",,4.4
교양선택,옛사람들의사랑과전쟁,ZF1200378,200,신상필,"화 15:00(75) 밀양M02-2314,<br/> 목 15:00(75) 밀양M02-2314",,4.03
교양선택,한국의명시와명곡,ZF1200525,200,임상석,"월 16:30(75) 405-2104,<br/> 수 16:30(75) 405-2104",,4.26
교양선택,영화와BIFF,ZF1100932,101,김채희 외 4명,금 13:00-16:00 422-101,,3.9
교양선택,영화와BIFF,ZF1100932,201,김충국 외 1명,수 14:00-17:00 밀양M01-1110,,4.76
