교과목명(미확정구분),교과목번호,분반,교수명,시간/강의실,수강대상학과,교양평점
한국의전통과학과기술,ZF1100405,001,신세완,"월 09:00(75) 306-317,<br/> 수 09:00(75) 306-317",,4.49
빅뱅 우주 속의 우리,ZF1200598,001,이창환,금 13:30-16:30 308-211,,4.65
R을활용한통계학개론,ZF1200325,032,김충락,금 15:00-18:00 313-222,,3.91
현대생활과화학,ZF1100272,034,박장수,"화 15:00(75) 606-114,<br/> 목 15:00(75) 606-114",,4.01
생명의프린키피아,ZF1200071,001,김희수,"화 16:30(75) 501-205,<br/> 목 16:30(75) 501-205",,4.47
뇌와질환,ZF1200237,001,최은상,금 09:00-12:00 501-304,,4.44
생활과기상,ZF1100525,001,정여민,"화 10:30(75) 416-111,<br/> 목 10:30(75) 416-111",,4.57
바다과학과우리미래,ZF1200677,001,이주형,"월 13:30(75) 312-503,<br/> 수 13:30(75) 312-503",,4.56
지구환경의변화,ZF1100485,087,김지혁,"월 16:30(75) 414-215,<br/> 수 16:30(75) 414-215",,새로개설
지구환경의변화,ZF1100485,088,장철우,"월 16:30(75) 414-304,<br/> 수 16:30(75) 414-304",,4.57
약이야기,ZF1100486,001,정연진,금 09:00-12:00 503-412,,4.5
에너지저장공학개론,ZF1200693,110,강준희,"월 18:00(75) 308-509,<br/> 수 18:00(75) 308-509",,4.4
에너지와기후변화,ZF1200696,110,최세진,목 18:00-21:00 408-5304,,4.18
재생에너지공학개론,ZF1200769,110,김지수,"월 09:00(75) 308-509,<br/> 수 09:00(75) 308-509",,4.6
에너지환경기술,ZF1200770,110,최세진,화 18:00-21:00 408-5304,,4.7
배터리속소재이야기,ZF1101057,001,조채용,"월 18:00(75) 514-215,<br/> 수 18:00(75) 514-215",,4.73
이차전지와인공지능,ZF1101058,001,박유세,"화 16:30(75) 105-3212,<br/> 목 16:30(75) 105-3212",,3.63
멀티미디어의이해와활용,ZF1100738,001,이호창,"화 10:00(75) 314-110,<br/> 목 10:00(75) 314-110",,4.6
IT환경에서의개인정보보호,ZF1100740,001,박성호,"월 10:30(75) 314-301,<br/> 수 10:30(75) 314-301",,4.23
컴퓨터 시뮬레이션,ZF1100914,001,박성호,"화 10:30(75) 314-301,<br/> 목 10:30(75) 314-301",,3.43
컴퓨터 시뮬레이션,ZF1100914,002,조미숙,"화 15:00(75) 314-110,<br/> 목 15:00(75) 314-110",,4.36
디지털리터러시의 이해와 활용,ZF1101167,002,양자영,"화 14:00(75) 314-301,<br/> 목 14:00(75) 314-301",,4.58
디지털리터러시의 이해와 활용,ZF1101167,201,김미숙,"화 15:00(75) 밀양M03-3204,<br/> 목 15:00(75) 밀양M03-3204",,4.5
컴퓨터프로그래밍입문,ZF1200226,001,전인호,"월 10:30(75) 514-309,<br/> 수 10:30(75) 514-309",,4.53
공학윤리,ZF1100539,001,김철,"월 15:00(75) 303-102,<br/> 수 15:00(75) 303-102",,3.85
공학윤리,ZF1100539,002,정현우,"월 15:00(75) 105-3415,<br/> 수 15:00(75) 105-3415",,4.53
공학윤리,ZF1100539,003,박은희,"화 09:00(75) 105-3215,<br/> 목 09:00(75) 105-3215",,4.78
공학윤리,ZF1100539,004,오애경,"월 10:30(75) 105-3315,<br/> 수 10:30(75) 105-3315",,4.4
공학윤리,ZF1100539,005,정현우,"월 10:30(75) 105-3415,<br/> 수 10:30(75) 105-3415",,4.53
공학윤리,ZF1100539,006,박은희,"화 13:30(75) 303-114,<br/> 목 13:30(75) 303-114",,4.78
공학윤리,ZF1100539,007,하연철,"월 09:00(75) 206-11204,<br/> 수 09:00(75) 206-11204",,4.55
공학윤리,ZF1100539,008,하연철,"월 10:30(75) 206-11204,<br/> 수 10:30(75) 206-11204",,4.55
공학윤리,ZF1100539,111,류수착,"화 15:00(75) 514-312,<br/> 목 15:00(75) 514-312",,2.65
기후와 문화,ZF1200465,001,레기나 보데,수 14:00-17:00 303-1010,,3
지속가능한미래에너지의이해,ZF1200732,001,김정현,"화 10:30(75) 206-11404,<br/> 목 10:30(75) 206-11404",,3.87
지구와자원,ZF1100693,001,이충모,"월 16:30(75) 416-111,<br/> 수 16:30(75) 416-111",,4.48
지구와자원,ZF1100693,002,강희철,"월 15:00(75) 416-111,<br/> 수 15:00(75) 416-111",,4.63
생명과학과 미래세상,ZF1100753,001,문용환,"화 13:30(75) 501-301,<br/> 목 13:30(75) 501-301",,4.51
생명과학과 미래세상,ZF1100753,002,석혜연,"화 13:30(75) 501-311,<br/> 목 13:30(75) 501-311",,4.7
인간과자연재해,ZF1200274,001,김광희,"화 15:00(75) 416-111,<br/> 목 15:00(75) 416-111",,새로개설
