교과목명(미확정구분),교과목번호,분반,교수명,시간/강의실,수강대상학과,개설학과,교양평점
사상체질로 보는 인간의 감정과 몸,ZF1200742,001,신상원,,,한의학과<br/>(051-510-8426),4.36
문학과영화로부산읽기,ZF1200746,001,손남훈,"월 13:30(75) 306-313,<br/> 수 13:30(75) 306-313",,국어국문학과<br/>(051-510-1507),4.69
문학과영화로부산읽기,ZF1200746,002,백혜린,"월 13:30(75) 306-501,<br/> 수 13:30(75) 306-501",,국어국문학과<br/>(051-510-1507),5
음식으로만나는중국,ZF1200641,001,최진아,"월 13:30(75) 306-310,<br/> 수 13:30(75) 306-310",,중어중문학과<br/>(051-510-1508),4.72
음식으로만나는중국,ZF1200641,002,송주란,"화 13:30(75) 405-2103,<br/> 목 13:30(75) 405-2103",,중어중문학과<br/>(051-510-1508),4.11
미국문학과글로벌문화,ZF1101004,001,김유곤,금 10:00-13:00 306-412,,영어영문학과<br/>(051-510-1510),4.83
중국문명과예술의흐름,ZF1100800,001,김종희,금 14:00-17:00 306-317,,사학과<br/>(051-510-1513),5
AI시대의기술과그의미,ZF1101043,001,노형래,"화 10:30(75) 306-307,<br/> 목 10:30(75) 306-307",,철학과<br/>(051-510-1514),4.4
AI시대의기술과그의미,ZF1101043,002,채정현,"화 10:30(75) 306-205,<br/> 목 10:30(75) 306-205",,철학과<br/>(051-510-1514),등록된 강의 평가 없음
AI시대의기술과그의미,ZF1101043,003,김솔,"월 15:00(75) 306-501,<br/> 수 15:00(75) 306-501",,철학과<br/>(051-510-1514),4.95
AI시대의기술과그의미,ZF1101043,200,서석구,금 09:00-12:00 밀양M02-2314,,철학과<br/>(051-510-1514),등록된 강의 평가 없음
스토리텔링으로만나는불교사상,ZF1200671,001,박효엽,"월 13:30(75) 306-307,<br/> 수 13:30(75) 306-307",,철학과<br/>(051-510-1514),4.63
스토리텔링으로만나는불교사상,ZF1200671,002,김준호,"월 13:30(75) 306-203,<br/> 수 13:30(75) 306-203",,철학과<br/>(051-510-1514),4.35
스토리텔링으로만나는불교사상,ZF1200671,200,한은정,목 14:00-17:00 밀양M02-2212,,철학과<br/>(051-510-1514),4.67
음식의과학,ZF1200195,001,윤부현 외 1명,"월 15:00(75) 501-304,<br/> 수 15:00(75) 501-304",,생명과학과<br/>(051-510-1772),4.83
위험사회와미래직업,ZF1200091,001,김영환,토 09:00-12:00 417-401,,교육학과<br/>(051-510-1615),4.04
영재교육과창의성계발,ZF1200292,001,박창언 외 1명,금 09:00-12:00 417-306,,교육학과<br/>(051-510-1615),5
인공지능과교육,ZF1200595,001,박창언 외 2명,금 13:00-16:00 417-303,,교육학과<br/>(051-510-1615),등록된 강의 평가 없음
"몸,나를찾는치유여행",ZF1200741,077,강영심 외 1명,"화 14:00(75) 106-722,<br/> 화 15:30(75) 106-722",,특수교육과<br/>(051-510-1643),4.52
영화로읽는세계사와시대정신,ZF1200638,001,김영화,"월 13:30(75) 418-106,<br/> 수 13:30(75) 418-106",,역사교육과<br/>(051-510-1618),4.92
영화로읽는세계사와시대정신,ZF1200638,002,성진희,금 14:00-17:00 밀양M02-2111,,역사교육과<br/>(051-510-1618),4.27
감염병과사회의변화,ZF1200591,001,장철훈,금 09:00-12:00 514-212,,의학과<br/>(051-240-7705),4.57
현대문화와도자예술,ZF1200144,101,김현숙 외 1명,"목 10:30(75) 703-312,<br/> 목 12:00(75) 703-312",,조형학과<br/>(051-510-7420),4.83
현대문화와도자예술,ZF1200144,102,김현숙 외 1명,"목 10:30(75) 703-314,<br/> 목 12:00(75) 703-314",,조형학과<br/>(051-510-7420),4.83
수학과물리의감성적이해,ZF1200717,001,김광석,금 16:30-19:30 514-109,,광메카트로닉스공학과<br/>(051-510-2795),4.24
수학과물리의감성적이해,ZF1200717,500,김광석,금 13:30-16:30 514-215,,광메카트로닉스공학과<br/>(051-510-2795),4.24
인류문명과에너지원의변천사,ZF1101056,001,이동윤,"월 09:00(75) 514-312,<br/> 수 09:00(75) 514-312",,이차전지융합전공<br/>(+82|051-510-7180),4.67
해양수산정책바로알기,ZF1101165,001,정원호,금 13:30-16:30 105-3214,,식품자원경제학과<br/>(055-350-5570),4.2
합리적인간의비합리적선택,ZF1101040,001,고광수,"화 13:30(75) 514-213,<br/> 목 13:30(75) 514-213",,경영학과<br/>(+82|051-510-1854),4.32
부자되기특강,ZF1200068,001,이장우,"화 13:30(75) 514-107,<br/> 목 13:30(75) 514-107",,경영학과<br/>(+82|051-510-1854),3.19
과학과디자인이함께하는환경색채,ZF1100963,001,오영은,수 15:00-18:00 602-202,,실내환경디자인학과<br/>(+82|051-510-1711),3.33
도시와환경디자인,ZF1200699,001,김동식,"월 18:00(75) 602-202,<br/> 수 18:00(75) 602-202",,실내환경디자인학과<br/>(+82|051-510-1711),4.25
기업가정신과 창의적 사고,ZF1200265,001,김희수,토 09:00(100) 506-101,,창업교육센터<br/>(0000|051-510-3948),4.85
기업가정신과 창의적 사고,ZF1200265,500,김희수,토 11:00(100) 506-101,,창업교육센터<br/>(0000|051-510-3948),4.85
과학기술로읽는세상,ZF1100996,001,현재환,"화 13:30(75) 201-6210,<br/> 목 13:30(75) 201-6210",,교양교육원<br/>(051-510-3844~6),4.52
다양성의 가치와 포용적 사회,ZF1101007,001,주현희 외 1명,화 10:00-13:00 314-204-1,,교양교육원<br/>(051-510-3844~6),4.71
인물로보는기술의역사,ZF1200097,001,송성수,"월 10:30(75) 516-305,<br/> 수 10:30(75) 516-305",,교양교육원<br/>(051-510-3844~6),4.49
부산학-삶터로서의부산읽기,ZF1200137,001,공윤경 외 2명,"화 10:30(75) 105-3416,<br/> 목 10:30(75) 105-3416",,교양교육원<br/>(051-510-3844~6),4
예술과과학의역사적관계에대한이해,ZF1200491,001,레기나 보데,금 14:00-17:00 210-603,,교양교육원<br/>(051-510-3844~6),4.33
PNU시대와지성특강,ZF1200649,001,하상복 외 1명,화 15:00-18:00 422-803,,교양교육원<br/>(051-510-3844~6),5
PNU시대와지성특강,ZF1200649,200,하상복 외 1명,화 15:00-18:00 밀양M03-3217,,교양교육원<br/>(051-510-3844~6),5
PNU시대와지성특강,ZF1200649,300,하상복 외 1명,화 15:00-18:00 양산Y15-207,,교양교육원<br/>(051-510-3844~6),5
도시와 건축의 만남,ZF1200438,001,공윤경,"화 15:00(75) 105-3311,<br/> 목 15:00(75) 105-3311",,한국민족문화연구소<br/>(051-510-1882),4.35
SF와 포스트휴먼,ZF1200464,001,이효석,"월 16:30(75) 306-308,<br/> 수 16:30(75) 306-308",,인문학연구소<br/>(051-510-1358),4.32
기후변화의이해,ZF1200165,001,이준이,,,기후과학연구소<br/>(051-510-1641),4.37
